County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Last_Update,Latitude,Longitude
King,Washington,328,,32,0.0975610,2020-03-14 12:04 EDT,47.4901181,-121.8043324
Snohomish,Washington,133,,4,0.0300752,2020-03-14 12:04 EDT,47.9124000,-122.0930600
Unassigned,Washington,65,,0,0.0000000,2020-03-14 12:04 EDT,47.4009020,-121.4904940
Pierce,Washington,19,,0,0.0000000,2020-03-14 12:04 EDT,47.0227081,-122.1014408
Clark,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,45.7818733,-122.4812785
Kittitas,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,46.9847200,-120.4175200
Kitsap,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,47.4749622,-122.6085325
Skagit,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,48.4793302,-121.7280802
Island,Washington,3,,0,0.0000000,2020-03-14 12:04 EDT,48.1916094,-122.6650075
Whatcom,Washington,2,,0,0.0000000,2020-03-14 12:04 EDT,48.8255970,-121.7174182
Yakima,Washington,2,,0,0.0000000,2020-03-14 12:04 EDT,46.6044800,-120.5072100
Grant,Washington,1,,1,1.0000000,2020-03-14 12:04 EDT,47.1988579,-119.4525987
Jefferson,Washington,1,,0,0.0000000,2020-03-14 12:04 EDT,47.7481061,-123.6000095
Thurston,Washington,1,,0,0.0000000,2020-03-14 12:04 EDT,46.9198058,-122.8298691
Grays Harbor,Washington,1,,0,0.0000000,2020-03-14 12:04 EDT,47.1505523,-123.7737432
Columbia,Washington,1,,0,0.0000000,2020-03-14 12:04 EDT,46.2975768,-117.9078634
Westchester,New York,158,,0,0.0000000,2020-03-14 12:04 EDT,41.1631976,-73.7560629
New York,New York,154,,1,0.0064935,2020-03-14 12:04 EDT,40.7145500,-74.0071400
Unassigned,New York,100,,0,0.0000000,2020-03-14 12:04 EDT,42.1657260,-74.9480510
Nassau,New York,51,,0,0.0000000,2020-03-14 12:04 EDT,40.7416523,-73.5889962
Suffolk,New York,28,,0,0.0000000,2020-03-14 12:04 EDT,40.8773281,-72.8589804
Rockland,New York,9,,0,0.0000000,2020-03-14 12:04 EDT,41.1523740,-74.0240103
Ulster,New York,5,,0,0.0000000,2020-03-14 12:04 EDT,41.9598600,-73.9903300
Albany,New York,4,,0,0.0000000,2020-03-14 12:04 EDT,42.6515500,-73.7552100
Saratoga,New York,3,,0,0.0000000,2020-03-14 12:04 EDT,43.0697400,-73.6366100
Orange,New York,3,,0,0.0000000,2020-03-14 12:04 EDT,41.4020682,-74.3055957
Dutchess,New York,3,,0,0.0000000,2020-03-14 12:04 EDT,41.7647751,-73.7428168
Monroe,New York,2,,0,0.0000000,2020-03-14 12:04 EDT,43.1460428,-77.6967491
Delaware,New York,1,,0,0.0000000,2020-03-14 12:04 EDT,42.1980433,-74.9663520
Herkimer,New York,1,,0,0.0000000,2020-03-14 12:04 EDT,43.0259000,-74.9843300
Schenectady,New York,1,,0,0.0000000,2020-03-14 12:04 EDT,42.8123800,-73.9412200
Broome,New York,1,,0,0.0000000,2020-03-14 12:04 EDT,42.1602180,-75.8196459
Santa Clara,California,79,,2,0.0253165,2020-03-14 12:04 EDT,37.3557900,-121.9550900
Los Angeles,California,40,,1,0.0250000,2020-03-14 12:04 EDT,34.0534900,-118.2453200
San Mateo,California,26,,0,0.0000000,2020-03-14 12:04 EDT,37.5470400,-122.3148500
Contra Costa,California,25,,0,0.0000000,2020-03-14 12:04 EDT,37.9179373,-121.9259354
San Francisco,California,23,,0,0.0000000,2020-03-14 12:04 EDT,37.7771200,-122.4196400
Sacramento,California,17,,1,0.0588235,2020-03-14 12:04 EDT,38.5794400,-121.4908500
Orange,California,13,,0,0.0000000,2020-03-14 12:04 EDT,33.7878700,-117.8507100
Riverside,California,12,,0,0.0000000,2020-03-14 12:04 EDT,33.9817100,-117.3740400
Alameda,California,11,,0,0.0000000,2020-03-14 12:04 EDT,37.7668300,-122.2453000
San Diego,California,8,,0,0.0000000,2020-03-14 12:04 EDT,32.7156800,-117.1617100
San Joaquin,California,8,,0,0.0000000,2020-03-14 12:04 EDT,37.9347956,-121.2713112
Santa Cruz,California,7,,0,0.0000000,2020-03-14 12:04 EDT,36.9742400,-122.0309800
Solano,California,6,,0,0.0000000,2020-03-14 12:04 EDT,38.2779336,-121.9272405
Ventura,California,5,,0,0.0000000,2020-03-14 12:04 EDT,34.2808200,-119.2923200
Placer,California,4,,1,0.2500000,2020-03-14 12:04 EDT,39.0591356,-120.7536328
San Benito,California,3,,0,0.0000000,2020-03-14 12:04 EDT,36.5050600,-121.0833200
Marin,California,3,,0,0.0000000,2020-03-14 12:04 EDT,38.0718873,-122.7195348
Yolo,California,2,,0,0.0000000,2020-03-14 12:04 EDT,38.7343100,-121.8127900
Calaveras,California,2,,0,0.0000000,2020-03-14 12:04 EDT,38.2047357,-120.5540655
Stanislaus,California,2,,0,0.0000000,2020-03-14 12:04 EDT,37.5593262,-120.9976619
Tulare,California,2,,0,0.0000000,2020-03-14 12:04 EDT,36.2064900,-119.3430500
Imperial,California,2,,0,0.0000000,2020-03-14 12:04 EDT,32.8474800,-115.5695200
Humboldt,California,1,,0,0.0000000,2020-03-14 12:04 EDT,40.6987980,-123.8737147
Sonoma,California,1,,0,0.0000000,2020-03-14 12:04 EDT,38.2918800,-122.4572800
Unassigned,California,1,,0,0.0000000,2020-03-14 12:04 EDT,,
Madera,California,1,,0,0.0000000,2020-03-14 12:04 EDT,36.9620500,-120.0639900
Fresno,California,1,,0,0.0000000,2020-03-14 12:04 EDT,36.7408400,-119.7855200
Shasta,California,1,,0,0.0000000,2020-03-14 12:04 EDT,40.5982800,-122.4909500
Middlesex,Massachusetts,60,,0,0.0000000,2020-03-14 12:04 EDT,42.4855941,-71.3917913
Suffolk,Massachusetts,26,,0,0.0000000,2020-03-14 12:04 EDT,42.3318916,-71.0753743
Norfolk,Massachusetts,24,,0,0.0000000,2020-03-14 12:04 EDT,42.1194100,-71.3308300
Berkshire,Massachusetts,9,,0,0.0000000,2020-03-14 12:04 EDT,42.5110500,-73.1942600
Worcester,Massachusetts,2,,0,0.0000000,2020-03-14 12:04 EDT,42.2634100,-71.8021900
Essex,Massachusetts,2,,0,0.0000000,2020-03-14 12:04 EDT,42.6325100,-70.7811300
Eagle,Colorado,16,,0,0.0000000,2020-03-14 12:04 EDT,39.6556500,-106.8278800
Denver,Colorado,15,,0,0.0000000,2020-03-14 12:04 EDT,39.7400100,-104.9920200
Pitkin,Colorado,10,,0,0.0000000,2020-03-14 12:04 EDT,39.2171252,-106.9167355
Arapahoe,Colorado,7,,0,0.0000000,2020-03-14 12:04 EDT,39.6497672,-104.3392044
Jefferson,Colorado,7,,0,0.0000000,2020-03-14 12:04 EDT,39.5864316,-105.2504022
Douglas,Colorado,4,,0,0.0000000,2020-03-14 12:04 EDT,39.3296664,-104.9295706
Gunnison,Colorado,4,,0,0.0000000,2020-03-14 12:04 EDT,38.5452600,-106.9269200
Adams,Colorado,3,,0,0.0000000,2020-03-14 12:04 EDT,39.8737591,-104.3366349
Summit,Colorado,2,,0,0.0000000,2020-03-14 12:04 EDT,39.6341694,-106.1163607
El Paso,Colorado,2,,1,0.5000000,2020-03-14 12:04 EDT,38.8321269,-104.5255141
Unassigned,Colorado,2,,0,0.0000000,2020-03-14 12:04 EDT,39.0598110,-105.3111040
Weld,Colorado,2,,0,0.0000000,2020-03-14 12:04 EDT,40.5547727,-104.3924353
Larimer,Colorado,1,,0,0.0000000,2020-03-14 12:04 EDT,40.6664525,-105.4609363
Pueblo,Colorado,1,,0,0.0000000,2020-03-14 12:04 EDT,38.2637500,-104.6125200
Routt,Colorado,1,,0,0.0000000,2020-03-14 12:04 EDT,40.4849979,-106.9912189
Broward,Florida,19,,0,0.0000000,2020-03-14 12:04 EDT,26.1522454,-80.4870534
Miami-Dade,Florida,8,,0,0.0000000,2020-03-14 12:04 EDT,25.6141821,-80.5679083
Unassigned,Florida,5,,0,0.0000000,2020-03-14 12:04 EDT,27.7662790,-81.6867830
Palm Beach,Florida,5,,0,0.0000000,2020-03-14 12:04 EDT,26.7028800,-80.0366100
Manatee,Florida,4,,0,0.0000000,2020-03-14 12:04 EDT,27.4964300,-82.5395400
Lee,Florida,4,,1,0.2500000,2020-03-14 12:04 EDT,26.5796516,-81.8246853
Volusia,Florida,4,,0,0.0000000,2020-03-14 12:04 EDT,29.1693400,-81.5225100
Hillsborough,Florida,3,,0,0.0000000,2020-03-14 12:04 EDT,27.9302310,-82.3078553
Alachua,Florida,3,,0,0.0000000,2020-03-14 12:04 EDT,29.7930900,-82.4942800
Collier,Florida,3,,0,0.0000000,2020-03-14 12:04 EDT,26.1162556,-81.3401333
Pinellas,Florida,2,,0,0.0000000,2020-03-14 12:04 EDT,27.9313392,-82.7219403
Sarasota,Florida,2,,0,0.0000000,2020-03-14 12:04 EDT,27.3388900,-82.5388700
Orange,Florida,2,,1,0.5000000,2020-03-14 12:04 EDT,41.3314100,-74.3566700
Santa Rosa,Florida,1,,1,1.0000000,2020-03-14 12:04 EDT,30.7314761,-87.0176139
Charlotte,Florida,1,,0,0.0000000,2020-03-14 12:04 EDT,26.9084833,-81.9034392
Okaloosa,Florida,1,,0,0.0000000,2020-03-14 12:04 EDT,30.7070235,-86.5965082
Nassau,Florida,1,,0,0.0000000,2020-03-14 12:04 EDT,30.6107767,-81.8017400
Pasco,Florida,1,,0,0.0000000,2020-03-14 12:04 EDT,28.3245300,-82.3362400
St. Johns,Florida,1,,0,0.0000000,2020-03-14 12:04 EDT,30.1205100,-81.6253600
Seminole,Florida,1,,0,0.0000000,2020-03-14 12:04 EDT,28.7170014,-81.2363226
Duval,Florida,1,,0,0.0000000,2020-03-14 12:04 EDT,30.4784400,-81.6255700
Clay,Florida,1,,0,0.0000000,2020-03-14 12:04 EDT,29.9830552,-81.8577821
Osceola,Florida,1,,0,0.0000000,2020-03-14 12:04 EDT,28.0681258,-81.1451965
Unassigned,Georgia,22,,0,0.0000000,2020-03-14 12:04 EDT,33.0406190,-83.6430740
Fulton,Georgia,8,,0,0.0000000,2020-03-14 12:04 EDT,33.7902407,-84.4671100
Cobb,Georgia,8,,1,0.1250000,2020-03-14 12:04 EDT,33.9414802,-84.5766374
DeKalb,Georgia,5,,0,0.0000000,2020-03-14 12:04 EDT,33.7715373,-84.2264653
Bartow,Georgia,4,,0,0.0000000,2020-03-14 12:04 EDT,34.2376440,-84.8407294
Floyd,Georgia,3,,0,0.0000000,2020-03-14 12:04 EDT,34.2632424,-85.2145276
Fayette,Georgia,3,,0,0.0000000,2020-03-14 12:04 EDT,33.4139091,-84.4942725
Gwinnett,Georgia,2,,0,0.0000000,2020-03-14 12:04 EDT,33.9611888,-84.0235873
Gordon,Georgia,2,,0,0.0000000,2020-03-14 12:04 EDT,34.5031965,-84.8758788
Polk,Georgia,1,,0,0.0000000,2020-03-14 12:04 EDT,34.0016881,-85.1881097
Cherokee,Georgia,1,,0,0.0000000,2020-03-14 12:04 EDT,34.2439897,-84.4762441
Charlton,Georgia,1,,0,0.0000000,2020-03-14 12:04 EDT,30.7817109,-82.1377648
Lowndes,Georgia,1,,0,0.0000000,2020-03-14 12:04 EDT,30.8336283,-83.2676955
Lee,Georgia,1,,0,0.0000000,2020-03-14 12:04 EDT,31.7795972,-84.1408802
Camden,Georgia,1,,0,0.0000000,2020-03-14 12:04 EDT,,
Coweta,Georgia,1,,0,0.0000000,2020-03-14 12:04 EDT,33.3536027,-84.7633669
Orleans,Louisiana,26,,0,0.0000000,2020-03-14 12:04 EDT,30.0384318,-89.9005515
Unassigned,Louisiana,15,,0,0.0000000,2020-03-14 12:04 EDT,31.1695460,-91.8678050
Jefferson parish,Louisiana,3,,0,0.0000000,2020-03-14 12:04 EDT,,
