County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,5683,1729,43,0.0075664,40.7145500,-74.0071400,2020-03-21 00:57 EDT
Westchester,New York,1091,293,0,0.0000000,41.1631976,-73.7560629,2020-03-21 00:57 EDT
Nassau,New York,754,382,4,0.0053050,40.7416523,-73.5889962,2020-03-21 00:57 EDT
Suffolk,New York,459,220,7,0.0152505,40.8773281,-72.8589804,2020-03-21 00:57 EDT
Rockland,New York,101,48,1,0.0099010,41.1523740,-74.0240103,2020-03-21 00:57 EDT
Orange,New York,84,33,0,0.0000000,41.4020682,-74.3055957,2020-03-21 00:57 EDT
Albany,New York,70,27,0,0.0000000,42.6515500,-73.7552100,2020-03-21 00:57 EDT
Erie,New York,47,19,0,0.0000000,42.7638212,-78.7322497,2020-03-21 00:57 EDT
Monroe,New York,36,6,1,0.0277778,43.1460428,-77.6967491,2020-03-21 00:57 EDT
Dutchess,New York,36,5,0,0.0000000,41.7647751,-73.7428168,2020-03-21 00:57 EDT
Saratoga,New York,21,0,0,0.0000000,43.0697400,-73.6366100,2020-03-21 00:57 EDT
Schenectady,New York,14,0,0,0.0000000,42.8123800,-73.9412200,2020-03-21 00:57 EDT
Onondaga,New York,13,6,0,0.0000000,43.0048700,-76.1836000,2020-03-21 00:57 EDT
Putnam,New York,12,7,0,0.0000000,41.4265345,-73.7494999,2020-03-21 00:57 EDT
Tompkins,New York,11,5,0,0.0000000,42.4493350,-76.4706436,2020-03-21 00:57 EDT
Ulster,New York,9,0,0,0.0000000,41.9598600,-73.9903300,2020-03-21 00:57 EDT
Rensselaer,New York,8,4,0,0.0000000,42.7108626,-73.5097379,2020-03-21 00:57 EDT
Niagara,New York,4,0,0,0.0000000,43.1999815,-78.7452226,2020-03-21 00:57 EDT
Clinton,New York,3,2,0,0.0000000,44.7904000,-73.6006000,2020-03-21 00:57 EDT
Columbia,New York,3,3,0,0.0000000,42.2500108,-73.6318613,2020-03-21 00:57 EDT
Greene,New York,2,0,0,0.0000000,42.2765457,-74.1226159,2020-03-21 00:57 EDT
Montgomery,New York,2,0,0,0.0000000,42.9022918,-74.4396009,2020-03-21 00:57 EDT
Allegany,New York,2,0,0,0.0000000,42.2573979,-78.0275544,2020-03-21 00:57 EDT
Oneida,New York,2,0,0,0.0000000,43.2430650,-75.4258360,2020-03-21 00:57 EDT
Wyoming,New York,2,0,0,0.0000000,42.7024266,-78.2244326,2020-03-21 00:57 EDT
Schoharie,New York,2,1,0,0.0000000,42.5882075,-74.4421359,2020-03-21 00:57 EDT
Steuben,New York,2,2,0,0.0000000,42.2678268,-77.3838260,2020-03-21 00:57 EDT
Delaware,New York,1,0,0,0.0000000,42.1980433,-74.9663520,2020-03-21 00:57 EDT
Herkimer,New York,1,0,0,0.0000000,43.0259000,-74.9843300,2020-03-21 00:57 EDT
Broome,New York,1,0,0,0.0000000,42.1602180,-75.8196459,2020-03-21 00:57 EDT
Tioga,New York,1,0,0,0.0000000,42.0605700,-76.3451900,2020-03-21 00:57 EDT
Ontario,New York,1,0,0,0.0000000,42.8528894,-77.2998110,2020-03-21 00:57 EDT
Essex,New York,1,0,0,0.0000000,44.1075570,-73.7912585,2020-03-21 00:57 EDT
Sullivan,New York,1,0,0,0.0000000,41.7163135,-74.7681108,2020-03-21 00:57 EDT
Genesee,New York,1,0,0,0.0000000,43.0009402,-78.1936949,2020-03-21 00:57 EDT
Warren,New York,1,0,0,0.0000000,43.5592099,-73.8588116,2020-03-21 00:57 EDT
Washington,New York,1,0,0,0.0000000,43.3122711,-73.4309623,2020-03-21 00:57 EDT
Hamilton,New York,1,0,0,0.0000000,43.6613037,-74.4973357,2020-03-21 00:57 EDT
Chenango,New York,1,0,0,0.0000000,42.4934944,-75.6115371,2020-03-21 00:57 EDT
Wayne,New York,1,1,0,0.0000000,42.4741310,-77.0981600,2020-03-21 00:57 EDT
King,Washington,793,100,67,0.0844893,47.4901181,-121.8043324,2020-03-21 00:57 EDT
