County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Latitude,Longitude,Last_Update
New York,New York,10764,2649,99,99,0.0091973,40.7145500,-74.0071400,2020/03/22 22:06 EDT
Nassau,New York,1900,666,4,4,0.0021053,40.7416523,-73.5889962,2020/03/22 22:06 EDT
Westchester,New York,1873,486,0,0,0.0000000,41.1631976,-73.7560629,2020/03/22 22:06 EDT
Suffolk,New York,1034,372,12,12,0.0116054,40.8773281,-72.8589804,2020/03/22 22:06 EDT
Rockland,New York,455,193,1,1,0.0021978,41.1523740,-74.0240103,2020/03/22 22:06 EDT
Orange,New York,247,84,0,0,0.0000000,41.4020682,-74.3055957,2020/03/22 22:06 EDT
Albany,New York,123,35,0,0,0.0000000,42.6515500,-73.7552100,2020/03/22 22:06 EDT
Dutchess,New York,82,33,1,1,0.0121951,41.7647751,-73.7428168,2020/03/22 22:06 EDT
Monroe,New York,68,22,1,1,0.0147059,43.1460428,-77.6967491,2020/03/22 22:06 EDT
Erie,New York,56,0,0,0,0.0000000,42.7638212,-78.7322497,2020/03/22 22:06 EDT
Onondaga,New York,45,11,0,0,0.0000000,43.0048700,-76.1836000,2020/03/22 22:06 EDT
Saratoga,New York,35,0,0,0,0.0000000,43.0697400,-73.6366100,2020/03/22 22:06 EDT
Schenectady,New York,32,0,0,0,0.0000000,42.8123800,-73.9412200,2020/03/22 22:06 EDT
Putnam,New York,31,0,0,0,0.0000000,41.4265345,-73.7494999,2020/03/22 22:06 EDT
Rensselaer,New York,20,0,0,0,0.0000000,42.7108626,-73.5097379,2020/03/22 22:06 EDT
Ulster,New York,18,0,0,0,0.0000000,41.9598600,-73.9903300,2020/03/22 22:06 EDT
Columbia,New York,17,10,0,0,0.0000000,42.2500108,-73.6318613,2020/03/22 22:06 EDT
Tompkins,New York,15,3,0,0,0.0000000,42.4493350,-76.4706436,2020/03/22 22:06 EDT
Sullivan,New York,12,0,0,0,0.0000000,41.7163135,-74.7681108,2020/03/22 22:06 EDT
Niagara,New York,9,0,0,0,0.0000000,43.1999815,-78.7452226,2020/03/22 22:06 EDT
Oneida,New York,4,0,0,0,0.0000000,43.2430650,-75.4258360,2020/03/22 22:06 EDT
Ontario,New York,4,0,0,0,0.0000000,42.8528894,-77.2998110,2020/03/22 22:06 EDT
Clinton,New York,4,0,0,0,0.0000000,44.7904000,-73.6006000,2020/03/22 22:06 EDT
Steuben,New York,4,2,0,0,0.0000000,42.2678268,-77.3838260,2020/03/22 22:06 EDT
Herkimer,New York,3,0,0,0,0.0000000,43.0259000,-74.9843300,2020/03/22 22:06 EDT
Broome,New York,3,0,1,1,0.3333333,42.1602180,-75.8196459,2020/03/22 22:06 EDT
Montgomery,New York,3,0,0,0,0.0000000,42.9022918,-74.4396009,2020/03/22 22:06 EDT
Essex,New York,3,1,0,0,0.0000000,44.1075570,-73.7912585,2020/03/22 22:06 EDT
Wayne,New York,3,0,0,0,0.0000000,42.4741310,-77.0981600,2020/03/22 22:06 EDT
Greene,New York,2,0,0,0,0.0000000,42.2765457,-74.1226159,2020/03/22 22:06 EDT
Allegany,New York,2,0,0,0,0.0000000,42.2573979,-78.0275544,2020/03/22 22:06 EDT
