County_Name,State_Name,Confirmed,New,Death,New_Death,Fatality_Rate,Recovered,New_Recovered,Latitude,Longitude,Last_Update
Los Angeles,California,307700,1312,7071,14,2.3%,12512,42,34.053490000000004,-118.24532,2020-10-31 19:50 EDT
Riverside,California,68050,0,1319,0,1.9%,60728,0,33.98171,-117.37404,2020-10-31 19:50 EDT
San Bernardino,California,64952,585,1078,4,1.7%,61128,508,34.10524,-117.29412,2020-10-31 19:50 EDT
Orange,California,59718,0,1475,0,2.5%,53265,0,33.78787,-117.85071,2020-10-31 19:50 EDT
San Diego,California,56369,0,888,0,1.6%,1138,0,32.71568,-117.16171,2020-10-31 19:50 EDT
Kern,California,34378,70,424,1,1.2%,17438,32,35.34281638,-118.7299395,2020-10-31 19:50 EDT
Fresno,California,31321,0,443,0,1.4%,20692,0,36.74084000000001,-119.78552,2020-10-31 19:50 EDT
Sacramento,California,26185,0,500,0,1.9%,23699,0,38.57944000000001,-121.49085,2020-10-31 19:50 EDT
Santa Clara,California,24986,119,406,0,1.6%,178,0,37.35579,-121.95508999999998,2020-10-31 19:50 EDT
Alameda,California,23775,0,463,0,1.9%,0,0,37.76683,-122.2453,2020-10-31 19:50 EDT
San Joaquin,California,22106,0,494,0,2.2%,20719,0,37.93479557,-121.2713112,2020-10-31 19:50 EDT
Contra Costa,California,19195,109,246,0,1.3%,18135,61,37.91793732,-121.9259354,2020-10-31 19:50 EDT
Stanislaus,California,17872,58,401,1,2.2%,17112,35,37.55932622,-120.9976619,2020-10-31 19:50 EDT
Tulare,California,17852,0,293,0,1.6%,17015,0,36.20649,-119.34305,2020-10-31 19:50 EDT
Ventura,California,14410,0,166,0,1.2%,13682,0,34.28082,-119.29232,2020-10-31 19:50 EDT
Imperial,California,13038,0,338,0,2.6%,12233,0,32.84748,-115.56952,2020-10-31 19:50 EDT
San Francisco,California,12399,79,148,1,1.2%,520,0,37.77712,-122.41964,2020-10-31 19:50 EDT
Monterey,California,11752,47,96,1,0.8%,9019,41,36.21714603,-121.2390196,2020-10-31 19:50 EDT
San Mateo,California,11371,30,161,0,1.4%,0,0,37.54704,-122.31485,2020-10-31 19:50 EDT
Santa Barbara,California,9944,0,128,0,1.3%,9679,0,34.41938,-119.69905,2020-10-31 19:50 EDT
Merced,California,9674,0,156,0,1.6%,9131,0,37.19187429,-120.717739,2020-10-31 19:50 EDT
Sonoma,California,9646,45,136,0,1.4%,7770,0,38.29188,-122.45728,2020-10-31 19:50 EDT
Kings,California,8511,55,83,0,1.0%,7067,18,36.07543071,-119.8153541,2020-10-31 19:50 EDT
Solano,California,7634,0,76,0,1.0%,7135,0,38.27793363,-121.9272405,2020-10-31 19:50 EDT
Marin,California,7133,2,129,0,1.8%,6982,0,38.07188727,-122.7195348,2020-10-31 19:50 EDT
Madera,California,5094,0,76,0,1.5%,4680,0,36.96205,-120.06399,2020-10-31 19:50 EDT
Placer,California,4353,0,59,0,1.4%,3857,0,39.05913563,-120.7536328,2020-10-31 19:50 EDT
