County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Abbeville,South Carolina,34.2225842,-82.4586613,0,0,0,0,0,1,1,1,1,1,1,3,4,4,3,3,3,4,4,6,6
Acadia,Louisiana,30.2905087,-92.4119770,0,0,0,0,0,0,0,0,0,1,1,2,3,8,9,9,11,39,47,61,72
Accomack,Virginia,37.7628726,-75.6519364,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,6,7,7,10,8
Ada,Idaho,43.4510569,-116.2411338,1,2,2,3,3,3,8,11,13,13,13,39,39,76,88,113,163,195,195,307,351
Adair,Iowa,41.3307435,-94.4709464,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adair,Kentucky,37.1041323,-85.2805652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Adair,Missouri,40.1905314,-92.6007447,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,1,1,2,2,6,8
Adair,Oklahoma,35.8838678,-94.6586692,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,4,4,4,8,9,14
Adam,Idaho,44.8896537,-116.4539300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Adams,Colorado,39.8737591,-104.3366349,3,6,6,6,10,10,12,14,18,25,25,38,50,71,95,110,152,181,181,260,294
Adams,Idaho,44.8896537,-116.4539300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adams,Illinois,39.9877960,-91.1844843,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Adams,Indiana,40.7456507,-84.9366342,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adams,Mississippi,31.4837077,-91.3473139,0,0,0,0,0,0,1,1,1,2,2,2,3,6,6,7,7,10,11,14,14
Adams,Nebraska,40.5244544,-98.5012020,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,3,3,6,6
Adams,Pennsylvania,39.8715070,-77.2179455,0,0,0,0,0,0,4,4,5,6,6,6,7,8,8,8,8,9,12,18,19
Adams,Washington,31.5793700,-91.2969400,0,0,0,0,0,0,0,0,0,1,1,1,3,5,5,5,7,13,14,20,20
Adams,Wisconsin,43.9639379,-89.7607766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Addison,Vermont,44.0280736,-73.1315288,0,0,0,0,1,1,1,3,3,6,6,9,12,13,15,17,17,23,24,26,32
Aiken,South Carolina,33.5443692,-81.6348687,0,0,0,0,0,0,1,1,1,1,1,2,4,6,7,9,9,13,13,22,22
Alachua,Florida,29.7930900,-82.4942800,3,1,1,4,7,11,15,25,35,36,36,46,53,60,68,72,80,87,87,95,110
Alamance,North Carolina,36.0439721,-79.3994515,0,0,0,0,0,0,1,2,2,2,3,3,4,5,5,6,7,7,7,13,15
Alameda,California,37.7668300,-122.2453000,11,11,18,27,30,38,48,68,106,122,122,135,178,220,256,270,283,313,313,359,443
Alamosa,Colorado,37.5729022,-105.7883016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4
Albany,New York,42.6515500,-73.7552100,4,11,15,25,36,43,70,88,123,127,127,152,171,187,195,205,217,226,240,253,267
Albany,Wyoming,41.4875300,-105.6427400,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,4
Albemarle,Virginia,38.0228436,-78.5565835,0,0,0,0,0,1,1,1,2,2,2,4,6,8,16,17,19,21,21,23,26
