County_Name,State_Name,Latitude,Longitude,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Abbeville,South Carolina,34.2225842,-82.4586613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acadia,Louisiana,30.2905087,-92.4119770,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Accomack,Virginia,37.7628726,-75.6519364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ada,Idaho,43.4510569,-116.2411338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Adair,Iowa,41.3307435,-94.4709464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adair,Missouri,40.1905314,-92.6007447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adair,Oklahoma,35.8838678,-94.6586692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,Colorado,39.8737591,-104.3366349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,Illinois,39.9877960,-91.1844843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,Indiana,40.7456507,-84.9366342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,Mississippi,31.4837077,-91.3473139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,Nebraska,40.5244544,-98.5012020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,Pennsylvania,39.8715070,-77.2179455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,Washington,31.5793700,-91.2969400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Addison,Vermont,44.0280736,-73.1315288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aiken,South Carolina,33.5443692,-81.6348687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alachua,Florida,29.7930900,-82.4942800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alamance,North Carolina,36.0439721,-79.3994515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alameda,California,37.7668300,-122.2453000,0,0,0,0,0,0,0,0,0,1,1,2,4,4,6,6
Alamosa,Colorado,37.5729022,-105.7883016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany,New York,42.6515500,-73.7552100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Albany,Wyoming,41.4875300,-105.6427400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albemarle,Virginia,38.0228436,-78.5565835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcorn,Mississippi,34.8807948,-88.5803270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,North Carolina,35.9210654,-81.1770225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,South Carolina,35.9104230,-81.1560892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,Virginia,38.8183862,-77.0862296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria City,Virginia,38.8183862,-77.0862296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allamakee,Iowa,43.2853182,-91.3847131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Allegan,Michigan,42.5912512,-85.8881912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegany,New York,42.2573979,-78.0275544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alleghany,North Carolina,36.4914522,-81.1273000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny,Pennsylvania,40.4508200,-80.0161500,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
Allen,Indiana,41.0908614,-85.0665371,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Allen,Kentucky,36.7512494,-86.1903628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen,Louisiana,30.6527174,-92.8279695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen,Ohio,40.7715098,-84.1058017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador,California,38.4460653,-120.6517550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amelia,Virginia,37.3360874,-77.9763219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amherst,Virginia,37.6048092,-79.1451136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amite,Mississippi,31.1744460,-90.8044629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage,Alaska,61.2175300,-149.8582500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Anderson,Kentucky,38.0038956,-84.9909919,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Anderson,South Carolina,34.5006100,-82.6496200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson,Tennessee,36.1184970,-84.1985092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrews,Texas,32.3050225,-102.6378207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Androscoggin,Maine,44.1658761,-70.2064586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelina,Texas,31.2573015,-94.6326176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anne Arundel,Maryland,39.0088970,-76.6032863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoka,Minnesota,45.1983300,-93.3899700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apache,Arizona,35.3956255,-109.4888227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appanoose,Iowa,40.7431306,-92.8685590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appling,Georgia,31.7492997,-82.2889194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arapahoe,Colorado,39.6497672,-104.3392044,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3
Arlington,Virginia,38.8905000,-77.0862900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Armstrong,Pennsylvania,40.8124353,-79.4644720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ascension,Louisiana,30.2054934,-90.9088583,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2
Ashland,Ohio,40.8459854,-82.2706822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley,Arkansas,33.1911758,-91.7684398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashtabula,Ohio,41.7074107,-80.7482149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assumption,Louisiana,29.9008158,-91.0625918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atascosa,Texas,28.8935349,-98.5271095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
