County Name,State Name,Confirmed,New,Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,1871,0,11,0.6%,40.71455,-74.00714,2020-03-19 10:44 EDT
Westchester,New York,538,0,0,0%,41.16319759,-73.7560629,2020-03-19 10:44 EDT
Nassau,New York,278,0,1,0.4%,40.74165225,-73.58899619,2020-03-19 10:44 EDT
Suffolk,New York,152,0,3,2%,40.87732808,-72.85898036,2020-03-19 10:44 EDT
Albany,New York,36,0,0,0%,42.65155,-73.75520999999998,2020-03-19 10:44 EDT
Orange,New York,32,0,0,0%,41.40206825,-74.30559567,2020-03-19 10:44 EDT
Rockland,New York,31,0,1,3.2%,41.152374,-74.02401032,2020-03-19 10:44 EDT
Erie,New York,27,0,0,0%,42.76382119,-78.73224973,2020-03-19 10:44 EDT
Monroe,New York,22,0,1,4.5%,43.14604282,-77.69674911,2020-03-19 10:44 EDT
Dutchess,New York,20,0,0,0%,41.76477515,-73.74281684,2020-03-19 10:44 EDT
Saratoga,New York,14,0,0,0%,43.06974,-73.63661,2020-03-19 10:44 EDT
Schenectady,New York,14,0,0,0%,42.81238,-73.94122,2020-03-19 10:44 EDT
Ulster,New York,9,0,0,0%,41.95986,-73.99033,2020-03-19 10:44 EDT
Tompkins,New York,6,0,0,0%,42.44933495,-76.47064359,2020-03-19 10:44 EDT
Onondaga,New York,6,0,0,0%,43.00487,-76.1836,2020-03-19 10:44 EDT
Rensselaer,New York,4,0,0,0%,42.71086262800003,-73.50973789599993,2020-03-19 10:44 EDT
Putnam,New York,2,0,0,0%,41.42653455,-73.7494999,2020-03-19 10:44 EDT
Greene,New York,2,0,0,0%,42.27654571,-74.12261588,2020-03-19 10:44 EDT
Montgomery,New York,2,0,0,0%,42.90229179999999,-74.43960085,2020-03-19 10:44 EDT
Allegany,New York,2,0,0,0%,42.25739788,-78.02755444,2020-03-19 10:44 EDT
Oneida,New York,2,0,0,0%,43.24306498200007,-75.42583597099997,2020-03-19 10:44 EDT
Delaware,New York,1,0,0,0%,42.19804334,-74.96635196,2020-03-19 10:44 EDT
Herkimer,New York,1,0,0,0%,43.0259,-74.98433,2020-03-19 10:44 EDT
Broome,New York,1,0,0,0%,42.16021802,-75.81964586,2020-03-19 10:44 EDT
Tioga,New York,1,0,0,0%,42.06057,-76.34519,2020-03-19 10:44 EDT
Ontario,New York,1,0,0,0%,42.85288942,-77.29981098,2020-03-19 10:44 EDT
Clinton,New York,1,0,0,0%,43.048250000000046,-75.37877999999995,2020-03-19 10:44 EDT
Essex,New York,1,0,0,0%,44.10755697300005,-73.79125846999995,2020-03-19 10:44 EDT
Sullivan,New York,1,0,0,0%,41.71631354400007,-74.76811083299998,2020-03-19 10:44 EDT
Wyoming,New York,1,0,0,0%,42.70242659300004,-78.22443260899995,2020-03-19 10:44 EDT
Genesee,New York,1,0,0,0%,43.00094016000003,-78.19369490099996,2020-03-19 10:44 EDT
Niagara,New York,1,0,0,0%,43.19998147100006,-78.74522261799996,2020-03-19 10:44 EDT
Warren,New York,1,0,0,0%,43.55920989700007,-73.85881158099994,2020-03-19 10:44 EDT
Washington,New York,1,0,0,0%,43.31227112600004,-73.43096234399997,2020-03-19 10:44 EDT
Hamilton,New York,1,0,0,0%,43.661303734000064,-74.49733573499998,2020-03-19 10:44 EDT
Chenango,New York,1,0,0,0%,42.493494428000076,-75.61153709999995,2020-03-19 10:44 EDT
Schoharie,New York,1,0,0,0%,42.58820745600008,-74.44213587999997,2020-03-19 10:44 EDT
King,Washington,562,0,56,10%,47.49011813,-121.8043324,2020-03-19 10:44 EDT
Snohomish,Washington,310,0,6,1.9%,47.9124,-122.09306,2020-03-19 10:44 EDT
Pierce,Washington,56,0,1,1.8%,47.02270813,-122.1014408,2020-03-19 10:44 EDT
Island,Washington,16,0,0,0%,48.19160936,-122.6650075,2020-03-19 10:44 EDT
Skagit,Washington,14,0,0,0%,48.47933023,-121.7280802,2020-03-19 10:44 EDT
Kitsap,Washington,9,0,0,0%,47.47496219,-122.6085325,2020-03-19 10:44 EDT
Grant,Washington,8,0,1,12.5%,47.19885794,-119.4525987,2020-03-19 10:44 EDT
Whatcom,Washington,7,0,0,0%,48.82559702,-121.7174182,2020-03-19 10:44 EDT
Yakima,Washington,7,0,0,0%,46.60448,-120.50721,2020-03-19 10:44 EDT
Thurston,Washington,6,0,0,0%,46.91980578,-122.82986909999998,2020-03-19 10:44 EDT
Spokane,Washington,5,0,0,0%,47.65726,-117.41228,2020-03-19 10:44 EDT
Jefferson,Washington,4,0,0,0%,47.74810608,-123.6000095,2020-03-19 10:44 EDT
Clark,Washington,4,0,3,75%,45.78187331,-122.4812785,2020-03-19 10:44 EDT
Kittitas,Washington,4,0,0,0%,46.98472,-120.41752,2020-03-19 10:44 EDT
Chelan,Washington,2,0,0,0%,47.86707169100004,-120.62526766299999,2020-03-19 10:44 EDT
Benton-Franklin,Washington,2,0,1,50%,38.553780000000074,-91.00091999999997,2020-03-19 10:44 EDT
Grays Harbor,Washington,1,0,0,0%,47.15055235,-123.7737432,2020-03-19 10:44 EDT
Columbia,Washington,1,0,0,0%,46.29757684,-117.9078634,2020-03-19 10:44 EDT
Lincoln,Washington,1,0,0,0%,47.57305061,-118.4177041,2020-03-19 10:44 EDT
Cowlitz,Washington,1,0,0,0%,46.19454048,-122.6783272,2020-03-19 10:44 EDT
Lewis,Washington,1,0,0,0%,46.57779491,-122.3929158,2020-03-19 10:44 EDT
Klickitat,Washington,1,0,0,0%,45.876409142000064,-120.79203971699995,2020-03-19 10:44 EDT
Mason,Washington,1,0,0,0%,38.61504000000008,-83.80987999999995,2020-03-19 10:44 EDT
Los Angeles,California,190,0,1,0.5%,34.053490000000004,-118.24532,2020-03-19 10:44 EDT
Santa Clara,California,175,0,6,3.4%,37.35579,-121.95508999999998,2020-03-19 10:44 EDT
San Mateo,California,80,0,1,1.3%,37.54704,-122.31485,2020-03-19 10:44 EDT
San Diego,California,76,0,0,0%,32.71568,-117.16171,2020-03-19 10:44 EDT
San Francisco,California,51,0,0,0%,37.77712,-122.41964,2020-03-19 10:44 EDT
Orange,California,42,0,0,0%,33.78787,-117.85071,2020-03-19 10:44 EDT
Contra Costa,California,41,2,0,0%,37.91793732,-121.9259354,2020-03-19 10:44 EDT
Sacramento,California,40,0,2,5%,38.57944000000001,-121.49085,2020-03-19 10:44 EDT
Alameda,California,34,0,0,0%,37.76683,-122.2453,2020-03-19 10:44 EDT
Riverside,California,16,0,3,18.8%,33.98171,-117.37404,2020-03-19 10:44 EDT
Marin,California,15,0,0,0%,38.07188727,-122.7195348,2020-03-19 10:44 EDT
San Joaquin,California,14,0,2,14.3%,37.93479557,-121.2713112,2020-03-19 10:44 EDT
Santa Cruz,California,13,0,0,0%,36.97424,-122.03098,2020-03-19 10:44 EDT
Ventura,California,13,1,0,0%,34.28082,-119.29232,2020-03-19 10:44 EDT
Placer,California,9,0,1,11.1%,39.05913563,-120.7536328,2020-03-19 10:44 EDT
Solano,California,8,0,0,0%,38.27793363,-121.9272405,2020-03-19 10:44 EDT
San Luis Obispo,California,7,0,0,0%,35.28579000000001,-120.66275,2020-03-19 10:44 EDT
Sonoma,California,6,0,0,0%,38.29188,-122.45728,2020-03-19 10:44 EDT
Yolo,California,5,0,0,0%,38.73431,-121.81279,2020-03-19 10:44 EDT
Stanislaus,California,5,0,0,0%,37.55932622,-120.9976619,2020-03-19 10:44 EDT
Tulare,California,5,0,0,0%,36.20649,-119.34305,2020-03-19 10:44 EDT
San Bernardino,California,5,0,0,0%,34.10524,-117.29412,2020-03-19 10:44 EDT
San Benito,California,3,0,0,0%,36.50506,-121.08332,2020-03-19 10:44 EDT
Fresno,California,3,0,0,0%,36.74084000000001,-119.78552,2020-03-19 10:44 EDT
Santa Barbara,California,3,0,0,0%,34.41938,-119.69905,2020-03-19 10:44 EDT
Calaveras,California,2,0,0,0%,38.20473567,-120.5540655,2020-03-19 10:44 EDT
Imperial,California,2,0,0,0%,32.84748,-115.56952,2020-03-19 10:44 EDT
Monterey,California,2,0,0,0%,36.21714602900005,-121.23901963899999,2020-03-19 10:44 EDT
Humboldt,California,1,0,0,0%,40.69879803,-123.8737147,2020-03-19 10:44 EDT
Madera,California,1,0,0,0%,36.96205,-120.06399,2020-03-19 10:44 EDT
Shasta,California,1,0,0,0%,40.59828,-122.49095,2020-03-19 10:44 EDT
Nevada,California,1,0,0,0%,34.06589,-117.21746,2020-03-19 10:44 EDT
Kern,California,1,0,0,0%,35.342816380000045,-118.72993949,2020-03-19 10:44 EDT
Grand Princess,California,0,0,1,Infinity%,33.96649000000008,-117.40708999999998,2020-03-19 10:44 EDT
Bergen,New Jersey,114,0,2,1.8%,40.95949149,-74.074442,2020-03-19 10:44 EDT
Essex,New Jersey,45,0,1,2.2%,40.78779259,-74.24760059,2020-03-19 10:44 EDT
Middlesex,New Jersey,40,0,0,0%,40.57936,-74.50067,2020-03-19 10:44 EDT
Hudson,New Jersey,34,0,1,2.9%,40.74034231,-74.07410970000002,2020-03-19 10:44 EDT
Monmouth,New Jersey,32,0,1,3.1%,40.2600411,-74.22194634,2020-03-19 10:44 EDT
Union,New Jersey,26,0,0,0%,40.69635,-74.26957,2020-03-19 10:44 EDT
Morris,New Jersey,19,0,0,0%,40.86201902,-74.5442741,2020-03-19 10:44 EDT
Passaic,New Jersey,18,0,0,0%,40.86034,-74.12374,2020-03-19 10:44 EDT
Somerset,New Jersey,16,0,0,0%,40.49859,-74.52249,2020-03-19 10:44 EDT
Mercer,New Jersey,15,0,0,0%,40.28331911,-74.70157374,2020-03-19 10:44 EDT
Burlington,New Jersey,10,0,0,0%,40.07687,-74.85775,2020-03-19 10:44 EDT
Camden,New Jersey,8,0,0,0%,39.94525,-75.11913,2020-03-19 10:44 EDT
Ocean,New Jersey,8,0,0,0%,39.90927434,-74.2969653,2020-03-19 10:44 EDT
Hunterdon,New Jersey,6,0,0,0%,40.56725317,-74.91217921,2020-03-19 10:44 EDT
Atlantic,New Jersey,3,0,0,0%,39.48065639800007,-74.67264305599997,2020-03-19 10:44 EDT
Gloucester,New Jersey,2,0,0,0%,39.71720106500004,-75.14164365699997,2020-03-19 10:44 EDT
Gloucester,New Jersey,2,0,0,0%,39.71720106500004,-75.14164365699997,2020-03-19 10:44 EDT
Warren,New Jersey,1,0,0,0%,40.85732358200005,-74.99706299999997,2020-03-19 10:44 EDT
Broward,Florida,80,0,1,1.3%,26.15224542,-80.48705340000002,2020-03-19 10:44 EDT
Miami-Dade,Florida,77,0,0,0%,25.61418208,-80.5679083,2020-03-19 10:44 EDT
Palm Beach,Florida,21,0,0,0%,26.70288,-80.03661,2020-03-19 10:44 EDT
Hillsborough,Florida,14,0,0,0%,27.93023096,-82.30785534,2020-03-19 10:44 EDT
Duval,Florida,14,0,0,0%,30.47844000000001,-81.62557,2020-03-19 10:44 EDT
Collier,Florida,13,0,0,0%,26.11625563,-81.34013334,2020-03-19 10:44 EDT
Pinellas,Florida,12,0,0,0%,27.9313392,-82.72194025,2020-03-19 10:44 EDT
Lee,Florida,11,0,1,9.1%,26.57965162,-81.82468531,2020-03-19 10:44 EDT
Orange,Florida,11,0,2,18.2%,41.33141,-74.35667,2020-03-19 10:44 EDT
Volusia,Florida,9,0,0,0%,29.16934,-81.52251,2020-03-19 10:44 EDT
Manatee,Florida,8,0,1,12.5%,27.49643,-82.53954,2020-03-19 10:44 EDT
Osceola,Florida,8,0,0,0%,28.06812578,-81.14519655,2020-03-19 10:44 EDT
Alachua,Florida,7,0,0,0%,29.79309000000001,-82.49428,2020-03-19 10:44 EDT
Seminole,Florida,7,0,0,0%,28.71700144,-81.23632262,2020-03-19 10:44 EDT
Okaloosa,Florida,4,0,0,0%,30.70702353,-86.59650821,2020-03-19 10:44 EDT
Clay,Florida,4,0,2,50%,29.98305516,-81.85778209,2020-03-19 10:44 EDT
Sarasota,Florida,4,0,0,0%,27.33889000000001,-82.53886999999997,2020-03-19 10:44 EDT
St. Johns,Florida,4,0,0,0%,30.12051,-81.62536,2020-03-19 10:44 EDT
Pasco,Florida,3,0,0,0%,28.32453,-82.33624,2020-03-19 10:44 EDT
Citrus,Florida,3,0,0,0%,28.8507789,-82.46594866,2020-03-19 10:44 EDT
Lake,Florida,2,0,0,0%,28.762619734000047,-81.71155351299996,2020-03-19 10:44 EDT
Polk,Florida,2,0,0,0%,27.948878240000052,-81.69776009499998,2020-03-19 10:44 EDT
Brevard,Florida,2,0,0,0%,28.293484186000057,-80.73235631099999,2020-03-19 10:44 EDT
Gadsden,Florida,1,0,0,0%,30.57948492300005,-84.61351742199997,2020-03-19 10:44 EDT
Leon,Florida,1,0,0,0%,30.457968026000056,-84.27794358699998,2020-03-19 10:44 EDT
Santa Rosa,Florida,1,0,1,100%,30.73147611,-87.01761385,2020-03-19 10:44 EDT
Charlotte,Florida,1,0,0,0%,26.90848328,-81.90343918,2020-03-19 10:44 EDT
Nassau,Florida,1,0,0,0%,30.61077673,-81.80173997,2020-03-19 10:44 EDT
Escambia,Florida,1,0,0,0%,30.70048477500007,-87.37722153999994,2020-03-19 10:44 EDT
Walton,Florida,1,0,0,0%,30.659395986000053,-86.16268062299997,2020-03-19 10:44 EDT
Sumter,Florida,1,0,0,0%,28.70474449200003,-82.08099390299998,2020-03-19 10:44 EDT
Cook,Illinois,178,0,1,0.6%,41.84014932,-87.81682325,2020-03-19 10:44 EDT
DuPage,Illinois,45,0,0,0%,41.85194049,-88.08561127,2020-03-19 10:44 EDT
Lake,Illinois,18,0,0,0%,42.32327645,-88.00353452,2020-03-19 10:44 EDT
Will,Illinois,8,5,0,0%,41.44505655,-87.97865231,2020-03-19 10:44 EDT
Kane,Illinois,4,0,0,0%,41.93887565,-88.42863925,2020-03-19 10:44 EDT
McHenry,Illinois,4,0,0,0%,42.32621,-88.26731,2020-03-19 10:44 EDT
St. Clair,Illinois,3,0,0,0%,38.46996471,-89.92749975,2020-03-19 10:44 EDT
Sangamon,Illinois,3,0,0,0%,39.75815792,-89.65888740000004,2020-03-19 10:44 EDT
Clinton,Illinois,3,0,0,0%,40.148790000000076,-88.96396999999996,2020-03-19 10:44 EDT
Peoria,Illinois,3,0,0,0%,40.69236000000007,-89.58798999999998,2020-03-19 10:44 EDT
Kendall,Illinois,2,0,0,0%,41.59058793100007,-88.42880574499998,2020-03-19 10:44 EDT
Woodford,Illinois,1,0,0,0%,40.84437,-89.02781,2020-03-19 10:44 EDT
Cumberland,Illinois,1,0,0,0%,39.27332831,-88.24016822,2020-03-19 10:44 EDT
Champaign,Illinois,1,0,0,0%,40.1142,-88.2435,2020-03-19 10:44 EDT
Winnebago,Illinois,1,0,0,0%,42.26568000000003,-89.24138999999997,2020-03-19 10:44 EDT
Whiteside,Illinois,1,0,0,0%,41.75533495100007,-89.91231676399998,2020-03-19 10:44 EDT
Madison,Illinois,1,0,0,0%,38.83006224400003,-89.90178019899997,2020-03-19 10:44 EDT
Jackson,Illinois,1,0,0,0%,37.785494981000056,-89.38103882699993,2020-03-19 10:44 EDT
Williamson,Illinois,1,0,0,0%,37.73016812400005,-88.92990905499994,2020-03-19 10:44 EDT
Orleans,Louisiana,196,0,6,3.1%,30.03843182,-89.90055149,2020-03-19 10:44 EDT
Jefferson,Louisiana,45,0,2,4.4%,29.9596,-90.17182,2020-03-19 10:44 EDT
St. Tammany,Louisiana,10,0,0,0%,30.39408,-89.89506999999998,2020-03-19 10:44 EDT
Caddo,Louisiana,6,0,0,0%,32.75632,-93.97374,2020-03-19 10:44 EDT
Lafourche,Louisiana,3,0,0,0%,29.765290000000004,-90.76881,2020-03-19 10:44 EDT
St. Charles,Louisiana,3,0,0,0%,29.9052798,-90.3824403,2020-03-19 10:44 EDT
Terrebonne,Louisiana,3,0,0,0%,29.43006669,-90.87546183,2020-03-19 10:44 EDT
St. Bernard,Louisiana,3,0,0,0%,29.86715,-89.85868,2020-03-19 10:44 EDT
East Baton Rouge,Louisiana,3,0,0,0%,30.53926540800007,-91.09217012,2020-03-19 10:44 EDT
Bossier,Louisiana,1,0,0,0%,32.67886191,-93.60531071,2020-03-19 10:44 EDT
St. John the Baptist,Louisiana,1,0,0,0%,30.07866499,-90.54541322,2020-03-19 10:44 EDT
Ascension,Louisiana,1,0,0,0%,30.20549338,-90.9088583,2020-03-19 10:44 EDT
Washington,Louisiana,1,0,0,0%,30.853392161000052,-90.04050446099994,2020-03-19 10:44 EDT
Middlesex,Massachusetts,100,0,0,0%,42.48559407,-71.3917913,2020-03-19 10:44 EDT
Suffolk,Massachusetts,51,0,0,0%,42.33189157,-71.07537429,2020-03-19 10:44 EDT
Norfolk,Massachusetts,45,0,0,0%,42.11941,-71.33083,2020-03-19 10:44 EDT
Berkshire,Massachusetts,17,0,0,0%,42.51105,-73.19426,2020-03-19 10:44 EDT
Essex,Massachusetts,14,0,0,0%,42.63251,-70.78113,2020-03-19 10:44 EDT
Worcester,Massachusetts,10,0,0,0%,42.26341,-71.80219,2020-03-19 10:44 EDT
Bristol,Massachusetts,5,0,0,0%,41.79836956,-71.11428121,2020-03-19 10:44 EDT
Plymouth,Massachusetts,5,0,0,0%,41.92808,-70.6568,2020-03-19 10:44 EDT
Barnstable,Massachusetts,2,0,0,0%,41.70194,-70.30442,2020-03-19 10:44 EDT
Hampden,Massachusetts,2,0,0,0%,42.064613,-72.422,2020-03-19 10:44 EDT
Franklin,Massachusetts,1,0,0,0%,42.586548666000056,-72.59777312799997,2020-03-19 10:44 EDT
Dallas,Texas,39,0,0,0%,32.778220000000005,-96.79512,2020-03-19 10:44 EDT
Bexar,Texas,25,0,0,0%,29.44892069,-98.5200077,2020-03-19 10:44 EDT
Travis,Texas,23,0,0,0%,30.33462266,-97.78218981,2020-03-19 10:44 EDT
Harris,Texas,18,0,0,0%,29.85762795,-95.39311138,2020-03-19 10:44 EDT
Collin,Texas,13,0,1,7.7%,33.1968,-96.80393,2020-03-19 10:44 EDT
Fort Bend,Texas,12,0,0,0%,29.52745252,-95.77065084,2020-03-19 10:44 EDT
Houston,Texas,10,0,0,0%,31.31765233500005,-95.42240552799996,2020-03-19 10:44 EDT
Tarrant,Texas,8,0,1,12.5%,32.8173,-97.07655,2020-03-19 10:44 EDT
Montgomery,Texas,7,0,0,0%,30.38862,-95.69633,2020-03-19 10:44 EDT
Smith,Texas,5,0,0,0%,32.37505601,-95.26910259,2020-03-19 10:44 EDT
Bell,Texas,5,0,0,0%,31.03765881,-97.47807382,2020-03-19 10:44 EDT
Hays,Texas,5,0,0,0%,30.11817000000001,-97.87222,2020-03-19 10:44 EDT
Denton,Texas,5,0,0,0%,33.216590000000004,-97.13162,2020-03-19 10:44 EDT
McLennan,Texas,5,0,0,0%,31.55234028700005,-97.20180587199995,2020-03-19 10:44 EDT
Galveston,Texas,4,0,0,0%,29.29532,-94.80791,2020-03-19 10:44 EDT
Brazoria,Texas,4,0,0,0%,29.04971,-95.562,2020-03-19 10:44 EDT
Williamson,Texas,4,0,0,0%,30.648067614000073,-97.60077208699992,2020-03-19 10:44 EDT
El Paso,Texas,3,0,0,0%,31.75916,-106.48749,2020-03-19 10:44 EDT
Matagorda,Texas,3,0,1,33.3%,28.69123,-95.96755,2020-03-19 10:44 EDT
Brazos,Texas,3,0,0,0%,30.660485841000014,-96.30207301399996,2020-03-19 10:44 EDT
Lubbock,Texas,3,0,0,0%,33.610193035000066,-101.820441552,2020-03-19 10:44 EDT
Potter,Texas,2,0,0,0%,35.40127384500005,-101.89397363199998,2020-03-19 10:44 EDT
Gregg,Texas,1,0,0,0%,32.48062462,-94.81699103,2020-03-19 10:44 EDT
Lavaca,Texas,1,0,0,0%,29.38432888,-96.93010975,2020-03-19 10:44 EDT
Bowie,Texas,1,0,0,0%,33.5594,-97.84837,2020-03-19 10:44 EDT
Webb,Texas,1,0,0,0%,32.632630000000056,-97.07417999999996,2020-03-19 10:44 EDT
Rusk,Texas,1,0,0,0%,31.795910000000053,-95.14990999999998,2020-03-19 10:44 EDT
Ellis,Texas,1,0,0,0%,32.34839289000007,-96.79460417699993,2020-03-19 10:44 EDT
Wichita,Texas,1,0,0,0%,33.98410156400007,-98.701694617,2020-03-19 10:44 EDT
Johnson,Texas,1,0,0,0%,32.37899028600003,-97.36641179499998,2020-03-19 10:44 EDT
Comal,Texas,1,0,0,0%,29.80818438400007,-98.27819520199995,2020-03-19 10:44 EDT
Grimes,Texas,1,0,0,0%,30.543655813000044,-95.98530181899996,2020-03-19 10:44 EDT
Fannin,Texas,1,0,0,0%,33.59309617200006,-96.10695930999998,2020-03-19 10:44 EDT
Jefferson,Texas,1,0,0,0%,29.88366400500007,-94.16922752899995,2020-03-19 10:44 EDT
DeWitt,Texas,1,0,0,0%,29.082058945000032,-97.35681759799995,2020-03-19 10:44 EDT
Brown,Texas,1,0,0,0%,31.774274889000026,-98.99985028399999,2020-03-19 10:44 EDT
Van Zandt,Texas,1,0,0,0%,32.56229950900007,-95.83587207799995,2020-03-19 10:44 EDT
Denver,Colorado,43,0,0,0%,39.74001,-104.99202,2020-03-19 10:44 EDT
Eagle,Colorado,39,0,0,0%,39.65565,-106.82788,2020-03-19 10:44 EDT
Jefferson,Colorado,25,0,0,0%,39.58643164,-105.2504022,2020-03-19 10:44 EDT
Arapahoe,Colorado,22,0,0,0%,39.64976719,-104.3392044,2020-03-19 10:44 EDT
