County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Latitude,Longitude,Last Update
New York,New York,57159,5350,1867,1867,3.3%,40.71455,-74.00714,2020-04-03 21:59 EDT
Westchester,New York,12351,784,67,67,0.5%,41.16319759,-73.7560629,2020-04-03 21:59 EDT
Nassau,New York,12024,1437,95,95,0.8%,40.74165225,-73.58899619,2020-04-03 21:59 EDT
Suffolk,New York,10154,1408,96,96,0.9%,40.87732808,-72.85898036,2020-04-03 21:59 EDT
Rockland,New York,4289,538,69,69,1.6%,41.152374,-74.02401032,2020-04-03 21:59 EDT
Orange,New York,2470,422,40,40,1.6%,41.40206825,-74.30559567,2020-04-03 21:59 EDT
Dutchess,New York,809,142,5,5,0.6%,41.76477515,-73.74281684,2020-04-03 21:59 EDT
Erie,New York,734,0,19,19,2.6%,42.76382119,-78.73224973,2020-04-03 21:59 EDT
Monroe,New York,464,44,10,10,2.2%,43.14604282,-77.69674911,2020-04-03 21:59 EDT
Onondaga,New York,322,21,3,3,0.9%,43.004870000000004,-76.1836,2020-04-03 21:59 EDT
Albany,New York,267,14,2,2,0.7%,42.65155,-73.75520999999998,2020-04-03 21:59 EDT
Ulster,New York,263,20,3,3,1.1%,41.95986,-73.99033,2020-04-03 21:59 EDT
Putnam,New York,252,36,7,7,2.8%,41.42653455,-73.7494999,2020-04-03 21:59 EDT
Sullivan,New York,168,12,5,5,3.0%,41.71631354,-74.76811083,2020-04-03 21:59 EDT
Saratoga,New York,141,9,1,1,0.7%,43.06974,-73.63661,2020-04-03 21:59 EDT
Schenectady,New York,110,9,5,5,4.5%,42.81238,-73.94122,2020-04-03 21:59 EDT
Niagara,New York,94,3,0,0,0.0%,43.19998147,-78.74522262,2020-04-03 21:59 EDT
Tompkins,New York,87,0,0,0,0.0%,42.44933495,-76.47064359,2020-04-03 21:59 EDT
Madison,New York,77,0,2,2,2.6%,42.91290749,-75.66978904,2020-04-03 21:59 EDT
Oneida,New York,71,10,1,1,1.4%,43.24306498,-75.42583597,2020-04-03 21:59 EDT
Rensselaer,New York,67,0,0,0,0.0%,42.71086263,-73.5097379,2020-04-03 21:59 EDT
Broome,New York,56,10,4,4,7.1%,42.16021802,-75.81964586,2020-04-03 21:59 EDT
Columbia,New York,51,0,2,2,3.9%,42.25001078,-73.63186134,2020-04-03 21:59 EDT
Steuben,New York,46,3,0,0,0.0%,42.26782685,-77.38382596,2020-04-03 21:59 EDT
St. Lawrence,New York,43,1,0,0,0.0%,44.17727,-76.16771999999997,2020-04-03 21:59 EDT
Chemung,New York,35,13,0,0,0.0%,42.1411881,-76.76001059999999,2020-04-03 21:59 EDT
Chenango,New York,32,4,0,0,0.0%,42.49349443,-75.61153709999998,2020-04-03 21:59 EDT
Clinton,New York,30,4,0,0,0.0%,44.7904,-73.6006,2020-04-03 21:59 EDT
Wayne,New York,30,3,0,0,0.0%,42.474131,-77.09816,2020-04-03 21:59 EDT
Oswego,New York,28,0,0,0,0.0%,43.436525700000004,-76.14924403,2020-04-03 21:59 EDT
Ontario,New York,28,2,0,0,0.0%,42.85288942,-77.29981098,2020-04-03 21:59 EDT
Delaware,New York,24,1,1,1,4.2%,42.19804334,-74.96635196,2020-04-03 21:59 EDT
Greene,New York,23,2,0,0,0.0%,42.27654571,-74.12261588,2020-04-03 21:59 EDT
Otsego,New York,21,0,1,1,4.8%,42.63373751,-75.03256231,2020-04-03 21:59 EDT
Warren,New York,19,1,0,0,0.0%,43.5592099,-73.85881158,2020-04-03 21:59 EDT
Livingston,New York,18,0,1,1,5.6%,42.72808354,-77.77543855,2020-04-03 21:59 EDT
Jefferson,New York,18,3,0,0,0.0%,44.04103424,-75.91225529,2020-04-03 21:59 EDT
Genesee,New York,17,0,1,1,5.9%,43.00094016,-78.1936949,2020-04-03 21:59 EDT
Wyoming,New York,15,0,1,1,6.7%,42.70242659,-78.22443261,2020-04-03 21:59 EDT
Washington,New York,15,2,0,0,0.0%,43.31227113,-73.43096234,2020-04-03 21:59 EDT
Herkimer,New York,14,0,2,2,14.3%,43.0259,-74.98433,2020-04-03 21:59 EDT
Allegany,New York,14,1,1,1,7.1%,42.25739788,-78.02755444,2020-04-03 21:59 EDT
Cortland,New York,14,0,0,0,0.0%,42.59500111,-76.07023743,2020-04-03 21:59 EDT
Schoharie,New York,11,2,0,0,0.0%,42.58820746,-74.44213588,2020-04-03 21:59 EDT
Franklin,New York,10,1,0,0,0.0%,44.592675381999996,-74.3034218499999,2020-04-03 21:59 EDT
Montgomery,New York,10,1,0,0,0.0%,42.90229179999999,-74.43960085,2020-04-03 21:59 EDT
Chautauqua,New York,9,1,1,1,11.1%,42.22826274,-79.36643298,2020-04-03 21:59 EDT
Cattaraugus,New York,9,1,0,0,0.0%,42.2485958350001,-78.678812022,2020-04-03 21:59 EDT
Tioga,New York,8,0,0,0,0.0%,42.06057,-76.34519,2020-04-03 21:59 EDT
Essex,New York,7,0,0,0,0.0%,44.10755697,-73.79125847,2020-04-03 21:59 EDT
Cayuga,New York,6,0,0,0,0.0%,42.92145204,-76.54917489,2020-04-03 21:59 EDT
Fulton,New York,6,0,0,0,0.0%,43.11240266,-74.43516277,2020-04-03 21:59 EDT
Orleans,New York,6,0,0,0,0.0%,43.252100586000005,-78.23124678499991,2020-04-03 21:59 EDT
Seneca,New York,6,2,0,0,0.0%,42.790068357000045,-76.82292272399997,2020-04-03 21:59 EDT
