County Name,State Name,Confirmed,New,Death,New Death,Fatality Rate,Recovered,New Recovered,Latitude,Longitude,Last Update
New York,New York,144190,2955,15239,466,10.6%,0,0,40.71455,-74.00714,2020-04-21 22:45 EDT
Nassau,New York,31079,402,1390,61,4.5%,1966,95,40.74165225,-73.58899619,2020-04-21 22:45 EDT
Suffolk,New York,28701,458,888,29,3.1%,1981,68,40.87732808,-72.85898036,2020-04-21 22:45 EDT
Westchester,New York,24656,350,809,33,3.3%,9371,0,41.16319759,-73.7560629,2020-04-21 22:45 EDT
Rockland,New York,9568,111,401,20,4.2%,0,0,41.152374,-74.02401032,2020-04-21 22:45 EDT
Orange,New York,7152,638,244,33,3.4%,0,0,41.40206825,-74.30559567,2020-04-21 22:45 EDT
Dutchess,New York,2331,47,28,0,1.2%,283,0,41.76477515,-73.74281684,2020-04-21 22:45 EDT
Erie,New York,2284,63,162,0,7.1%,479,0,42.76382119,-78.73224973,2020-04-21 22:45 EDT
Monroe,New York,1070,16,81,0,7.6%,465,0,43.14604282,-77.69674911,2020-04-21 22:45 EDT
Ulster,New York,1018,21,17,1,1.7%,149,12,41.95986,-73.99033,2020-04-21 22:45 EDT
Putnam,New York,807,0,7,0,0.9%,0,0,41.42653455,-73.7494999,2020-04-21 22:45 EDT
Albany,New York,704,17,23,0,3.3%,0,0,42.65155,-73.75520999999998,2020-04-21 22:45 EDT
Onondaga,New York,646,0,21,0,3.3%,362,0,43.004870000000004,-76.1836,2020-04-21 22:45 EDT
Sullivan,New York,592,32,14,1,2.4%,320,38,41.71631354,-74.76811083,2020-04-21 22:45 EDT
Schenectady,New York,336,0,14,0,4.2%,122,0,42.81238,-73.94122,2020-04-21 22:45 EDT
Oneida,New York,284,5,8,0,2.8%,87,0,43.24306498,-75.42583597,2020-04-21 22:45 EDT
Saratoga,New York,272,0,7,0,2.6%,121,0,43.06974,-73.63661,2020-04-21 22:45 EDT
Niagara,New York,260,5,16,0,6.2%,133,0,43.19998147,-78.74522262,2020-04-21 22:45 EDT
Broome,New York,205,6,11,0,5.4%,49,0,42.16021802,-75.81964586,2020-04-21 22:45 EDT
Steuben,New York,195,0,27,0,13.8%,96,0,42.26782685,-77.38382596,2020-04-21 22:45 EDT
Rensselaer,New York,186,0,6,0,3.2%,64,0,42.71086263,-73.5097379,2020-04-21 22:45 EDT
Tompkins,New York,123,0,0,0,0%,94,0,42.44933495,-76.47064359,2020-04-21 22:45 EDT
Genesee,New York,121,2,2,0,1.7%,56,0,43.00094016,-78.1936949,2020-04-21 22:45 EDT
Columbia,New York,120,0,12,0,10%,54,0,42.25001078,-73.63186134,2020-04-21 22:45 EDT
St. Lawrence,New York,120,10,0,0,0%,0,0,44.17727,-76.16771999999997,2020-04-21 22:45 EDT
Madison,New York,117,0,5,0,4.3%,99,0,42.91290749,-75.66978904,2020-04-21 22:45 EDT
Warren,New York,102,1,0,0,0%,0,0,43.5592099,-73.85881158,2020-04-21 22:45 EDT
Greene,New York,87,1,0,0,0%,39,0,42.27654571,-74.12261588,2020-04-21 22:45 EDT
Chenango,New York,79,1,0,0,0%,0,0,42.49349443,-75.61153709999998,2020-04-21 22:45 EDT
Chemung,New York,75,2,1,0,1.3%,10,0,42.1411881,-76.76001059999999,2020-04-21 22:45 EDT
Ontario,New York,72,1,0,0,0%,0,0,42.85288942,-77.29981098,2020-04-21 22:45 EDT
Washington,New York,68,3,2,0,2.9%,21,0,43.31227113,-73.43096234,2020-04-21 22:45 EDT
Delaware,New York,62,0,4,0,6.5%,26,0,42.19804334,-74.96635196,2020-04-21 22:45 EDT
Clinton,New York,56,0,3,0,5.4%,38,0,44.7904,-73.6006,2020-04-21 22:45 EDT
Jefferson,New York,54,0,0,0,0%,9,0,44.04103424,-75.91225529,2020-04-21 22:45 EDT
Orleans,New York,53,7,1,0,1.9%,16,0,43.252100586000005,-78.23124678499991,2020-04-21 22:45 EDT
Oswego,New York,52,0,2,0,3.8%,42,0,43.436525700000004,-76.14924403,2020-04-21 22:45 EDT
Wayne,New York,51,1,0,0,0%,16,0,42.474131,-77.09816,2020-04-21 22:45 EDT
Herkimer,New York,50,1,3,0,6%,0,0,43.0259,-74.98433,2020-04-21 22:45 EDT
Otsego,New York,49,0,4,0,8.2%,31,0,42.63373751,-75.03256231,2020-04-21 22:45 EDT
Wyoming,New York,44,0,3,0,6.8%,23,0,42.70242659,-78.22443261,2020-04-21 22:45 EDT
Livingston,New York,39,0,4,0,10.3%,26,0,42.72808354,-77.77543855,2020-04-21 22:45 EDT
Montgomery,New York,37,2,1,0,2.7%,10,0,42.90229179999999,-74.43960085,2020-04-21 22:45 EDT
Tioga,New York,37,0,0,0,0%,13,0,42.06057,-76.34519,2020-04-21 22:45 EDT
Cayuga,New York,36,0,1,0,2.8%,5,0,42.92145204,-76.54917489,2020-04-21 22:45 EDT
Cattaraugus,New York,35,1,0,0,0%,0,0,42.2485958350001,-78.678812022,2020-04-21 22:45 EDT
Allegany,New York,30,0,2,0,6.7%,24,0,42.25739788,-78.02755444,2020-04-21 22:45 EDT
Fulton,New York,27,0,0,0,0%,0,0,43.11240266,-74.43516277,2020-04-21 22:45 EDT
Chautauqua,New York,25,0,3,0,12%,21,0,42.22826274,-79.36643298,2020-04-21 22:45 EDT
Cortland,New York,25,0,0,0,0%,22,0,42.59500111,-76.07023743,2020-04-21 22:45 EDT
Essex,New York,21,1,0,0,0%,8,0,44.10755697,-73.79125847,2020-04-21 22:45 EDT
Schoharie,New York,20,0,0,0,0%,0,0,42.58820746,-74.44213588,2020-04-21 22:45 EDT
Seneca,New York,18,0,0,0,0%,0,0,42.790068356999996,-76.822922724,2020-04-21 22:45 EDT
Franklin,New York,13,0,0,0,0%,4,0,44.592675381999996,-74.3034218499999,2020-04-21 22:45 EDT
Yates,New York,10,0,0,0,0%,2,0,42.633345773,-77.11807677899999,2020-04-21 22:45 EDT
Lewis,New York,9,0,0,0,0%,5,0,43.78473386600009,-75.448706117,2020-04-21 22:45 EDT
Schuyler,New York,8,0,0,0,0%,6,0,42.370638971999995,-76.9851275,2020-04-21 22:45 EDT
Hamilton,New York,3,0,0,0,0%,0,0,43.66130373,-74.49733573,2020-04-21 22:45 EDT
Bergen,New Jersey,13356,345,787,0,5.9%,0,0,40.95949149,-74.074442,2020-04-21 22:45 EDT
Hudson,New Jersey,11221,0,636,0,5.7%,314,0,40.74034231,-74.07410970000002,2020-04-21 22:45 EDT
Essex,New Jersey,11128,399,751,0,6.7%,60,0,40.78779259,-74.24760059,2020-04-21 22:45 EDT
Union,New Jersey,9972,0,387,0,3.9%,151,0,40.69635,-74.26957,2020-04-21 22:45 EDT
Passaic,New Jersey,8479,0,263,0,3.1%,0,0,40.86034,-74.12374,2020-04-21 22:45 EDT
Middlesex,New Jersey,8346,0,345,0,4.1%,0,0,40.57936,-74.50067,2020-04-21 22:45 EDT
Ocean,New Jersey,4868,0,222,0,4.6%,0,0,39.90927434,-74.2969653,2020-04-21 22:45 EDT
Monmouth,New Jersey,4787,0,230,0,4.8%,0,0,40.2600411,-74.22194634,2020-04-21 22:45 EDT
Morris,New Jersey,4236,0,269,0,6.4%,1,0,40.86201902,-74.5442741,2020-04-21 22:45 EDT
Mercer,New Jersey,2591,0,122,0,4.7%,12,0,40.28331911,-74.70157374,2020-04-21 22:45 EDT
Somerset,New Jersey,2488,0,170,0,6.8%,0,0,40.49859,-74.52249,2020-04-21 22:45 EDT
Camden,New Jersey,2379,124,81,0,3.4%,0,0,39.94525,-75.11913,2020-04-21 22:45 EDT
Burlington,New Jersey,1765,102,61,0,3.5%,0,0,40.07687,-74.85775,2020-04-21 22:45 EDT
Gloucester,New Jersey,808,38,25,0,3.1%,0,0,39.71720107,-75.14164366,2020-04-21 22:45 EDT
Sussex,New Jersey,688,0,64,0,9.3%,0,0,41.13934496,-74.69067762,2020-04-21 22:45 EDT
Warren,New Jersey,613,0,47,0,7.7%,76,0,40.85732358,-74.997063,2020-04-21 22:45 EDT
Atlantic,New Jersey,469,59,19,0,4.1%,71,0,39.4806564,-74.67264306,2020-04-21 22:45 EDT
Hunterdon,New Jersey,423,0,18,0,4.3%,0,0,40.56725317,-74.91217921,2020-04-21 22:45 EDT
Cumberland,New Jersey,360,22,4,0,1.1%,0,0,39.37311491,-75.11061925,2020-04-21 22:45 EDT
Cape May,New Jersey,217,5,15,0,6.9%,45,0,38.93547,-74.92137,2020-04-21 22:45 EDT
Salem,New Jersey,120,0,4,0,3.3%,0,0,39.57661332,-75.35810746,2020-04-21 22:45 EDT
Middlesex,Massachusetts,9621,368,428,56,4.4%,147,0,42.48559407,-71.3917913,2020-04-21 22:45 EDT
Suffolk,Massachusetts,8669,355,285,49,3.3%,926,0,42.33189157,-71.07537429,2020-04-21 22:45 EDT
Essex,Massachusetts,5521,225,245,36,4.4%,0,0,42.632509999999996,-70.78113,2020-04-21 22:45 EDT
Norfolk,Massachusetts,4062,102,290,46,7.1%,218,0,42.119409999999995,-71.33083,2020-04-21 22:45 EDT
Worcester,Massachusetts,3341,162,133,19,4%,8,0,42.26341,-71.80219,2020-04-21 22:45 EDT
Plymouth,Massachusetts,3043,67,141,10,4.6%,0,0,41.92808,-70.6568,2020-04-21 22:45 EDT
Hampden,Massachusetts,2533,95,244,33,9.6%,0,0,42.064613,-72.422,2020-04-21 22:45 EDT
Bristol,Massachusetts,1852,73,96,9,5.2%,0,0,41.79836956,-71.11428121,2020-04-21 22:45 EDT
Barnstable,Massachusetts,672,8,22,1,3.3%,0,0,41.70194,-70.30442,2020-04-21 22:45 EDT
Berkshire,Massachusetts,404,17,29,2,7.2%,0,0,42.51105,-73.19426,2020-04-21 22:45 EDT
Hampshire,Massachusetts,337,5,10,3,3%,0,0,42.3402715,-72.66940388,2020-04-21 22:45 EDT
Franklin,Massachusetts,192,5,29,3,15.1%,0,0,42.58654867,-72.59777313,2020-04-21 22:45 EDT
Dukes and Nantucket,Massachusetts,23,0,1,0,4.3%,0,0,42.312753,-71.30182950000003,2020-04-21 22:45 EDT
Los Angeles,California,15153,1330,663,44,4.4%,232,0,34.053490000000004,-118.24531999999999,2020-04-21 22:45 EDT
Riverside,California,2960,113,93,8,3.1%,700,0,33.98171,-117.37404,2020-04-21 22:45 EDT
San Diego,California,2434,109,87,15,3.6%,903,0,32.71568,-117.16171000000001,2020-04-21 22:45 EDT
Santa Clara,California,1946,24,88,5,4.5%,1,0,37.35579,-121.95508999999998,2020-04-21 22:45 EDT
Orange,California,1691,15,33,0,2%,0,0,33.78787,-117.85071,2020-04-21 22:45 EDT
San Bernardino,California,1489,83,67,7,4.5%,0,0,34.10524,-117.29411999999999,2020-04-21 22:45 EDT
Alameda,California,1241,48,43,1,3.5%,0,0,37.76683,-122.2453,2020-04-21 22:45 EDT
San Francisco,California,1231,15,20,0,1.6%,0,0,37.777120000000004,-122.41963999999999,2020-04-21 22:45 EDT
Sacramento,California,954,14,35,1,3.7%,0,0,38.57944000000001,-121.49085,2020-04-21 22:45 EDT
San Mateo,California,935,15,28,0,3%,0,0,37.54704,-122.31485,2020-04-21 22:45 EDT
Contra Costa,California,749,42,22,0,2.9%,0,0,37.91793732,-121.9259354,2020-04-21 22:45 EDT
Kern,California,671,28,3,0,0.4%,234,0,35.34281638,-118.7299395,2020-04-21 22:45 EDT
San Joaquin,California,449,3,18,0,4%,0,0,37.93479557,-121.2713112,2020-04-21 22:45 EDT
Tulare,California,436,14,22,4,5%,55,0,36.20649,-119.34305,2020-04-21 22:45 EDT
Santa Barbara,California,429,13,5,1,1.2%,169,0,34.41938,-119.69905,2020-04-21 22:45 EDT
Ventura,California,428,0,13,0,3%,222,0,34.28082,-119.29231999999999,2020-04-21 22:45 EDT
Fresno,California,372,21,7,0,1.9%,85,0,36.74084000000001,-119.78551999999999,2020-04-21 22:45 EDT
Stanislaus,California,232,0,4,0,1.7%,94,0,37.55932622,-120.9976619,2020-04-21 22:45 EDT
Marin,California,200,1,10,0,5%,0,0,38.07188727,-122.7195348,2020-04-21 22:45 EDT
Imperial,California,195,20,5,1,2.6%,59,5,32.84748,-115.56952,2020-04-21 22:45 EDT
Sonoma,California,182,0,2,0,1.1%,109,0,38.29188,-122.45728000000001,2020-04-21 22:45 EDT
Solano,California,181,1,3,1,1.7%,143,0,38.27793363,-121.9272405,2020-04-21 22:45 EDT
Monterey,California,148,0,4,0,2.7%,24,0,36.21714603,-121.2390196,2020-04-21 22:45 EDT
Yolo,California,146,4,10,0,6.8%,0,0,38.73431,-121.81278999999999,2020-04-21 22:45 EDT
San Luis Obispo,California,134,2,1,0,0.7%,111,0,35.28579000000001,-120.66275,2020-04-21 22:45 EDT
Placer,California,133,1,8,0,6%,0,0,39.05913563,-120.75363279999999,2020-04-21 22:45 EDT
Santa Cruz,California,108,2,2,0,1.9%,48,0,36.97424,-122.03098,2020-04-21 22:45 EDT
Merced,California,92,2,3,0,3.3%,16,0,37.19187429,-120.717739,2020-04-21 22:45 EDT
Napa,California,54,6,2,0,3.7%,0,0,38.50647693,-122.3306091,2020-04-21 22:45 EDT
Humboldt,California,52,0,0,0,0%,50,3,40.69879803,-123.87371470000001,2020-04-21 22:45 EDT
San Benito,California,45,1,2,0,4.4%,40,0,36.50506,-121.08332,2020-04-21 22:45 EDT
El Dorado,California,39,1,0,0,0%,16,0,38.68217,-120.84683000000001,2020-04-21 22:45 EDT
Nevada,California,38,0,1,0,2.6%,0,0,39.2616,-121.0161,2020-04-21 22:45 EDT
Madera,California,36,0,6,4,16.7%,11,0,36.96205,-120.06398999999999,2020-04-21 22:45 EDT
Kings,California,32,0,1,0,3.1%,0,0,36.075430705,-119.815354141,2020-04-21 22:45 EDT
Shasta,California,26,0,3,0,11.5%,6,0,40.598279999999995,-122.49095,2020-04-21 22:45 EDT
Sutter,California,26,0,2,0,7.7%,0,0,39.0346753900001,-121.694845711,2020-04-21 22:45 EDT
Mono,California,24,0,1,0,4.2%,0,0,37.93749777,-118.8838882,2020-04-21 22:45 EDT
Inyo,California,18,0,0,0,0%,0,0,36.511060297,-117.41059195,2020-04-21 22:45 EDT
Butte,California,16,0,0,0,0%,0,0,39.66709143,-121.60091100000001,2020-04-21 22:45 EDT
Yuba,California,16,0,1,0,6.3%,0,0,39.26918299,-121.3512653,2020-04-21 22:45 EDT
Calaveras,California,12,0,0,0,0%,2,0,38.20473567,-120.55406550000001,2020-04-21 22:45 EDT
Amador,California,8,1,0,0,0%,3,0,38.44606535,-120.65175500000001,2020-04-21 22:45 EDT
Lake,California,6,0,0,0,0%,0,0,39.102653429,-122.75089742799999,2020-04-21 22:45 EDT
Mendocino,California,5,0,0,0,0%,4,0,39.44024063,-123.3912784,2020-04-21 22:45 EDT
Siskiyou,California,5,0,0,0,0%,3,0,41.59256366,-122.54077720000001,2020-04-21 22:45 EDT
Glenn,California,4,0,0,0,0%,2,0,39.598279844000004,-122.392389048,2020-04-21 22:45 EDT
Plumas,California,4,0,0,0,0%,0,0,40.0007023550001,-120.83349825399999,2020-04-21 22:45 EDT
Colusa,California,3,0,0,0,0%,0,0,39.1775976810001,-122.237102265,2020-04-21 22:45 EDT
Alpine,California,2,1,0,0,0%,1,0,38.597333049,-119.820421252,2020-04-21 22:45 EDT
Tuolumne,California,2,0,0,0,0%,0,0,38.0276436720001,-119.954653631,2020-04-21 22:45 EDT
